county,cty_region,cty_region_DACcap_tpa,county_DACcost_wtavg
01021,Southeast,52161217.2521377,244.361259591513
01025,Southeast,52161217.2521377,244.237241197766
01047,Southeast,52161217.2521377,244.375206865236
01097,Southeast,52161217.2521377,244.268349755831
01131,Southeast,52161217.2521377,244.366000757145
02185,Alaska,507591466.853327,252.157144167177
02188,Alaska,507591466.853327,250.084403317176
02240,Alaska,507591466.853327,273.70388169059
02290,Alaska,507591466.853327,273.563471214042
05023,South Central,891142987.748054,316.144704772316
05029,South Central,891142987.748054,316.147046468127
05033,South Central,891142987.748054,316.114204900816
05045,South Central,891142987.748054,316.163451756262
05047,South Central,891142987.748054,316.100527151296
05057,South Central,891142987.748054,244.006056980498
05061,South Central,891142987.748054,244.001380288341
05071,South Central,891142987.748054,316.058927648298
05083,South Central,891142987.748054,316.104329101101
05091,South Central,891142987.748054,243.927476634758
05105,South Central,891142987.748054,316.161886340944
05115,South Central,891142987.748054,316.120357014898
05127,South Central,891142987.748054,316.083847391922
05131,South Central,891142987.748054,316.089190608749
05141,South Central,891142987.748054,316.13563039862
05149,South Central,891142987.748054,316.122827282141
06005,West Coast,3789338.58350721,245.367673831714
06007,California Central Valley,2419393.91128635,245.384707157946
06009,West Coast,3789338.58350721,245.394847074132
06011,California Central Valley,2419393.91128635,245.350486692141
06013,Western Cities,0,245.355367199166
06019,California Central Valley,2419393.91128635,242.404439075391
06021,California Central Valley,2419393.91128635,245.392449806951
06025,Western Cities,0,243.338090068707
06029,California Central Valley,2419393.91128635,242.470633914011
06031,California Central Valley,2419393.91128635,242.450147568735
06037,Western Cities,0,242.4317235134
06039,California Central Valley,2419393.91128635,242.466967219488
06043,West Coast,3789338.58350721,242.423346208311
06047,California Central Valley,2419393.91128635,242.377880761276
06053,Western Cities,0,242.093812484895
06061,West Coast,3789338.58350721,245.405957078043
06065,Western Cities,0,243.218600241052
06067,California Central Valley,2419393.91128635,245.399722892484
06069,Western Cities,0,242.0628291394
06071,Western Cities,0,242.662690719902
06073,Western Cities,0,243.113747007919
06077,California Central Valley,2419393.91128635,245.390121010098
06079,Western Cities,0,242.164964659765
06089,West Coast,3789338.58350721,245.494843142828
06095,California Central Valley,2419393.91128635,245.320883648329
06099,California Central Valley,2419393.91128635,242.993204217095
06101,California Central Valley,2419393.91128635,245.380903294757
06103,West Coast,3789338.58350721,245.401478145571
06107,California Central Valley,2419393.91128635,242.516869292064
06113,California Central Valley,2419393.91128635,245.359815525572
06115,California Central Valley,2419393.91128635,245.402726546048
08001,Upper Rocky Mountains,228600356.621459,245.057784607194
08005,Upper Rocky Mountains,228600356.621459,244.885585795545
08007,Lower Rocky Mountains,169254922.656714,248.75664972805
08013,Lower Rocky Mountains,169254922.656714,245.949756693579
08017,Upper Rocky Mountains,228600356.621459,245.338103637201
08025,Upper Rocky Mountains,228600356.621459,244.908235990028
08029,Lower Rocky Mountains,169254922.656714,291.053156014249
08031,Upper Rocky Mountains,228600356.621459,244.880421798552
08033,Lower Rocky Mountains,169254922.656714,269.454791058725
08035,Upper Rocky Mountains,228600356.621459,244.950879442049
08039,Upper Rocky Mountains,228600356.621459,244.799051663925
08041,Upper Rocky Mountains,228600356.621459,244.711926507847
08045,Lower Rocky Mountains,169254922.656714,291.334422195017
08055,Lower Rocky Mountains,169254922.656714,242.972701241381
08063,Lower Midwest,0,245.299807561735
08067,Lower Rocky Mountains,169254922.656714,251.315419040482
08069,Lower Rocky Mountains,169254922.656714,245.254923271704
08071,Lower Rocky Mountains,169254922.656714,242.895926794725
08073,Upper Rocky Mountains,228600356.621459,245.006804486088
08075,Lower Midwest,0,245.390061751257
08077,Lower Rocky Mountains,169254922.656714,291.013397073586
08081,Upper Rocky Mountains,228600356.621459,256.571626383498
08083,Lower Rocky Mountains,169254922.656714,267.246589098481
08085,Lower Rocky Mountains,169254922.656714,269.388001465539
08087,Upper Rocky Mountains,228600356.621459,245.442661593017
08095,Lower Midwest,0,246.266657742028
08101,Upper Rocky Mountains,228600356.621459,244.748719124844
08103,Lower Rocky Mountains,169254922.656714,267.703327559116
08107,Lower Rocky Mountains,169254922.656714,254.55520651495
08113,Lower Rocky Mountains,169254922.656714,269.44856263452
08115,Lower Midwest,0,246.422613886735
08121,Upper Rocky Mountains,228600356.621459,245.054616507441
08123,Upper Rocky Mountains,228600356.621459,245.103450726556
08125,Lower Midwest,0,246.306671332835
12001,Florida Peninsula,0,324.108704067984
12015,Florida Peninsula,0,245.90252927669
12021,Florida Peninsula,0,246.052357248448
12023,Southeast,52161217.2521377,316.448169646033
12027,Florida Peninsula,0,245.856788472947
12029,Southeast,52161217.2521377,295.060131843886
12039,Southeast,52161217.2521377,249.980663072077
12041,Southeast,52161217.2521377,315.217677207975
12043,Florida Peninsula,0,246.015345943723
12051,Florida Peninsula,0,245.995467709784
12055,Florida Peninsula,0,246.066941343706
12067,Southeast,52161217.2521377,302.304291312686
12069,Florida Peninsula,0,247.674631537691
12073,Southeast,52161217.2521377,253.921248028586
12075,Southeast,52161217.2521377,298.365971495182
12079,Southeast,52161217.2521377,295.796319323515
12081,Florida Peninsula,0,245.950824615188
