county,county_DACcap_tpa,county_DACcost_wtavg
02185,205415530.1,463.6757808
02188,709998.7081,463.3354247
05047,348062.2035,311.4194314
05061,230365.2311,244.383237
05083,251505.1317,312.4745818
06007,3407942.963,275.5890812
06011,5143937.269,275.4056279
06013,175023.198,275.4222569
06019,8312724.089,272.6885361
06021,5843144.447,275.4762625
06029,7528450.166,273.2611136
06031,7985312.37,271.7803177
06039,6084227.172,271.3228466
06043,109575.0388,271.8911477
06047,9441748.422,270.6908145
06053,109268.9508,275.230552
06061,478321.9629,275.5701161
06065,278806.4818,273.9897945
06067,3173268.713,269.8702543
06069,153482.0437,274.4210777
06073,1532261.229,272.2635179
06077,5230706.043,272.7630185
06079,288143.1614,272.9182004
06089,507553.9196,276.5716275
06095,506445.6392,275.8168373
06099,4808376.399,273.0173034
06101,1288321.232,275.8828534
06103,3204796.965,275.7846391
06107,1923425.843,275.3791572
06113,2898301.069,275.3484576
06115,1365764.345,275.6747178
08001,14102380.77,209.0351388
08005,7656583.366,209.157748
08007,190624.8382,215.6472328
08025,4248644.08,202.9143187
08033,3174707.706,232.0292913
08035,1175544.793,211.2404401
08039,44589282.28,206.1200895
08041,67198033.35,203.2448524
08045,431525.2718,253.9886295
08055,6429851.078,202.1483317
08063,9725601.579,209.641641
08067,2617774.664,212.4987044
08069,1275541.395,210.4576706
08071,27778764.95,200.6802381
08073,65256555.96,204.4530033
08075,27973954.73,205.6722862
08077,515324.5378,251.4109123
08081,51829759.15,217.3160987
08083,18243285.6,224.2007593
08085,621407.2359,224.7751006
08087,70968748.13,203.988212
08095,3122848.47,211.8366781
08101,28159514.88,202.8128375
08103,3436933.591,230.0550607
08107,2173821.889,217.7835492
08113,6728108.688,226.4553811
08115,3083450.263,211.9373747
08121,39765439.36,206.1850158
08123,115570615.4,204.2132609
08125,12209792.82,211.7383791
12001,291593.164,362.0936436
12015,256406.2393,295.048127
12041,200219.1416,358.9923433
12043,136906.7305,293.8112465
12055,105929.089,295.5321417
12075,198938.2661,335.5553749
12079,788402.7408,340.0428253
12121,929866.9687,348.4147217
13087,534025.5847,305.3804077
13201,120569.8198,303.7974891
13205,288197.3116,306.4126178
13253,154860.5235,303.0890014
16007,1017020.918,268.3847735
16011,5233269.387,265.4975159
16019,1764114.912,268.5344757
16029,2838873.553,263.9179918
17027,854423.1845,279.5973147
17081,698084.3179,274.2516253
17139,517137.6664,275.2626378
17191,965954.4676,274.1766268
18037,115030.4925,266.941531
19011,102603.3444,233.6293077
19013,164363.2065,233.201664
19031,139538.5015,234.7830127
19075,286813.8286,233.3388306
19091,1043490.354,233.2843895
19103,261475.5497,233.6252785
19147,457953.5636,233.1729745
19149,120778.7934,242.9435123
19163,341303.8073,233.4148295
19193,316133.5455,243.6996111
19197,103307.7048,233.866538
20041,592876.5674,224.612976
20105,4395554.54,224.6384283
20123,1413859.515,224.5790837
20143,2589982.879,224.7383569
20167,1621782.593,224.5236827
20169,452697.0316,225.2944138
20175,353146.1059,222.2219645
20201,218010.1531,227.3293923
21027,225715.5904,284.9669095
21033,710191.3375,284.3778057
21047,867965.682,284.2417036
21059,207479.6026,285.2605072
21085,122010.0849,285.3695537
21101,666592.2826,291.8787936
21107,656060.0855,284.4812021
21143,176191.1755,284.5325382
21149,236020.1728,285.0732507
21183,140845.213,285.6356135
21219,180420.3543,284.3454336
21225,1481712.671,284.1708388
21233,502851.1094,284.4387103
22001,192941.2873,254.9808846
22003,219594.041,253.7639114
22007,378652.9637,254.0857525
22009,642752.538,255.0703384
22017,418398.8725,253.6121493
22019,148986.364,253.6233846
22025,245068.7877,254.7580061
22029,252793.2618,255.0757137
22045,254122.8968,253.9453545
22047,243225.9357,254.8359802
22069,204500.0741,255.2109681
22077,981318.9565,254.5003312
22079,1079096.703,253.8212584
22081,249521.2299,254.1576249
22097,757693.2947,254.0567886
22099,156966.2467,253.6380932
22101,255765.4687,254.4857076
28017,111229.4812,274.9030724
28103,565968.1156,275.5463797
29017,224119.718,240.3043457
29031,789231.3859,240.0438367
29133,1142486.105,240.2841572
29143,4764677.544,239.7744596
29157,323427.4205,240.4417148
29201,1613707.861,239.9245335
29207,3109408.306,239.6894106
30003,29100588.64,245.1933206
30009,2774112.852,246.0064225
30011,30691733.02,243.6635323
30017,51537786.56,247.949751
30019,19207493.91,247.45687
30021,23683074.2,247.7587529
30025,9396215.82,246.2991408
30033,36731650.26,245.3194072
30055,29576921.25,247.7864802
30075,36368176.01,244.1986949
30079,22243205.73,248.2376979
30083,26748321.78,248.0136796
30085,36144628.34,247.0704962
30087,5736293.87,245.1945072
30091,23570575.13,247.4307656
30105,81142048.76,244.6067017
30109,6391658.185,248.0579116
31005,4395133.041,216.4856409
31007,9864636.698,214.5535482
31013,24631812.02,211.5660015
31021,404100.582,227.2436319
31029,982270.787,217.8594479
31033,17254797.36,216.0964363
31045,7126998.492,213.7824926
31049,5567024.13,216.8181979
31053,321726.5176,227.2444579
31067,635967.925,227.7636946
31069,31858930.86,216.6214864
31075,1660377.607,216.3741433
31101,5623459.445,217.4593712
31105,17680710.65,215.5233371
31123,37325277.36,213.2927622
31135,2755231.026,217.3223273
31155,169741.3191,227.8160824
31157,4880587.561,214.8987212
31161,3000576.061,216.3525174
31165,81592486.01,210.1348291
31173,537549.1775,227.3814671
35005,47200775.54,194.7952814
35007,4323546.529,195.2148807
35009,10814061.88,196.6167513
35011,12389228.53,194.4799168
35015,198307191.3,196.039078
35021,40145776.43,194.5230159
35025,371953404.7,195.5152884
35027,3093246.776,194.5504699
35031,153304881.7,195.6967769
35035,2762359.239,199.2317662
35037,47861788.7,194.8221056
35039,15045031.83,200.4352198
35041,14613919.67,198.0258875
35043,52209878,196.4111597
35045,173317078.1,199.6806097
35049,781456.964,203.5148631
35057,18408605.87,195.5735226
35059,50682656.42,194.4956007
38011,744302.4968,199.0239229
38015,437711.4726,199.5172624
38023,3847707.062,199.2874683
38025,291940.5591,199.264077
38029,379479.154,201.4378635
38037,795717.6694,199.28994
38049,117402.6326,198.9158599
38053,1896815.196,199.0834998
38055,564291.2216,199.3358752
38057,1523578.337,198.8782616
38059,610484.2695,199.5865324
38085,1505934.885,198.7417251
38105,187541.0624,200.7571731
39097,102824.067,295.0011188
40007,1898124.739,224.0633195
40025,2475646.501,216.7036033
40045,943036.9934,220.9538649
40059,153451.0197,221.4355825
40079,322369.3733,288.9618469
40139,678033.9865,219.0724998
40153,179637.9815,221.0243443
41043,862893.4955,274.6844544
46019,117376645.9,210.3559321
46021,104017.8773,214.7082413
46031,58976286.09,212.7755228
46041,8748442.19,214.1565742
46047,5984870.865,210.2547382
46055,1395312.016,220.4016016
46063,75232598.57,208.6015437
46093,34887843.97,214.2542062
46103,6483886.455,220.0426941
46105,85885232.01,210.9794488
46129,1119189.589,214.3533407
46137,18535223.05,214.4148626
47017,202275.3016,273.2802962
47079,394364.6386,272.458377
47095,101379.761,272.9179268
47097,308900.4962,273.8885795
47125,136881.9735,272.866157
47131,220753.6816,272.104001
47147,389833.9654,272.8055613
47167,190558.0021,273.1617454
48003,142645954.2,221.884506
48007,173445.5854,231.8114738
48009,2351201.768,229.8411296
48011,10173242.93,228.9749622
48013,27814197.72,227.4201187
48015,1741102.219,232.0584266
48017,28174105.31,224.3282727
48021,674707.5774,231.9034653
48023,42008768.01,227.1262073
48025,7327623.886,229.077584
48029,500410.1838,231.401853
48033,25676435.24,222.8130119
48035,3751363.617,234.5224688
48037,121564.3231,231.7155387
48039,326809.2056,232.2340426
48041,1057865.398,232.2128716
48043,95336752.09,228.1438903
48045,3505323.241,228.6916472
48047,23761143.41,223.9219016
48049,2066751.659,254.0095143
48051,1784766.983,231.8420154
48055,922010.577,231.5778842
48057,303673.4404,232.4874217
48059,24235272.86,229.0722104
48061,233480.9326,233.0797092
48065,262692.9936,234.2255909
48069,22026502.19,226.0068477
48077,1082865.769,227.2623334
48079,5815933.722,221.7294735
48081,3564011.762,225.937837
48083,38125548.04,228.4766611
48085,285074.8042,231.1894666
48089,1997558.669,231.6719787
48093,3257814.693,241.3978269
48095,4768031.392,226.1871775
48097,272645.6564,254.6506767
48099,2057370.671,234.3660652
48101,12025603.94,225.796772
48103,78480798.08,222.9584855
48105,15942496.89,227.0383624
48109,217633490.4,222.8332264
48111,29291196,220.8921939
48115,18328818.67,226.5112187
48117,51658935.63,224.2155995
48119,186902.9684,231.6669855
48121,858013.5856,234.4746242
48123,3475125.469,231.4432294
48127,88799960.01,223.5236325
48131,63626033.77,223.8422415
48133,1361080.538,243.112385
48135,63597114.53,222.8395801
48139,818075.9626,231.8026909
48143,3383667.573,234.8184759
48145,4830651.249,234.5259749
48147,213179.6857,230.3234033
48149,607344.1217,231.8763023
48151,19526642.5,227.950998
48153,1540306.109,228.9803804
48155,19406232.46,225.6122693
48157,376709.2582,232.6678774
48159,247333.7536,235.2574418
48161,1943866.4,240.0766655
48163,43826154.46,224.9849981
48165,79973913.07,223.795615
48169,14431071.91,223.422566
48173,9646842.165,223.8936884
48175,8849657.118,229.1494486
48177,4245009.36,231.5176893
48179,633040.3521,223.0745393
48185,1036301.969,232.7436165
48187,546511.6576,231.3644456
48189,1037821.118,225.053789
48191,886930.8082,225.4605907
48195,3201425.165,235.8966409
48205,35961388.89,223.2089744
48207,17590715.2,231.2651361
48211,39534577.12,224.0465555
48215,1934462.006,232.2115184
48217,1393616.708,234.3258119
48219,11353317.15,224.9382261
48221,1524624.576,234.13089
48223,190574.9392,234.5649351
48225,1674765.404,234.2437452
48227,14690687.38,224.7617899
48231,857047.3732,235.2069473
48233,5179605.014,232.019238
48237,805611.8319,234.0060914
48239,6143165.547,231.4672591
48243,65776055.39,224.0264219
48247,42175981.69,223.4848883
48249,10191158.41,227.027684
48251,1127255.993,234.4275822
48253,20686849.35,230.3261618
48255,7821096.647,230.168383
48257,2875189.683,235.1285116
48261,555220.716,232.3565314
48263,8745183.554,222.6337506
48269,46524400.64,225.4093581
48271,65522462.56,223.3501717
48273,903432.4072,231.6131109
48275,27902522.6,227.3000473
48277,148800.1887,231.5052856
48279,10093804.68,227.2293106
48283,67418871.37,225.3148237
48285,2562973.624,231.6988471
48287,1305440.769,231.8881392
48289,1312699.212,236.7203848
48293,2814596.175,250.6984287
48295,39214496.8,222.6388463
48297,38555819.67,225.2289038
48301,105867341.7,220.8415693
48305,2977991.738,229.1502112
48309,241222.816,234.7419006
48311,81661447.65,224.4906939
48313,1214668.343,235.4543091
48317,44446273.76,223.7055903
48321,3344784.24,231.7437946
48323,121988009.4,223.0994709
48325,19083857.17,225.2289324
48329,46766415.85,223.0919356
48331,5373596.142,231.1779216
48335,1888128.808,222.9438614
48337,2341645.804,238.7793438
48341,118810.3933,228.5431829
48345,28304967.09,224.0377652
48349,5373081.459,235.5531432
48353,1499632.141,231.9457357
48355,129824.1158,232.6085029
48357,22128495.87,225.9579914
48359,23369051.82,222.7844113
48363,4250427.489,234.8548852
48365,213773.9988,232.473918
48367,3507374.983,234.2945857
48369,5873972.896,229.0741886
48371,273798544.2,222.8492044
48375,11020392.54,224.7223805
48377,43740496.82,222.6187437
48381,8101503.65,229.2125411
48383,4602123.173,222.9185918
48387,1838714.535,231.2000306
48389,347202099.6,221.2870772
48391,3275025.675,231.0046272
48393,13736288.18,226.324975
48395,3768343.12,239.8827303
48399,46296194.09,227.3202409
48409,321228.0863,231.1603646
48415,11422143.34,227.0258295
48417,407159.3904,233.1103524
48423,138236.673,234.2056982
48427,29450190.52,224.8193891
48429,520060.9565,233.3790953
48433,44030714.51,225.9835145
48437,25950543.04,226.6711618
48439,156234.6734,234.4901426
48441,7856029.962,232.0396817
48443,73516218.45,226.5648933
48445,19595110.88,225.7705594
48447,142134.0496,227.9193291
48449,166787.0709,235.8737431
48461,99884310.05,222.6865879
48463,43824826.33,223.2596381
48465,18591388.07,224.8187578
48467,418449.9592,233.8845479
48469,6498952.662,230.9503214
48471,203337.0414,232.3912941
48473,147947.8357,232.0674882
48475,111726760.3,221.8581574
48477,1997596.085,231.6708524
48479,205899454.6,223.8208174
48481,10440709.8,231.9041567
48483,28207929.4,223.4221851
48485,977955.9741,235.2967276
48487,17705054.3,225.6982009
48489,409084.5506,232.1430576
48491,464732.0475,230.8735826
48493,4527057.819,231.2958841
48495,85657306.97,222.1142427
48497,4122385.617,236.8754277
48501,24667569.07,223.3157946
48503,352990.667,233.5277027
48505,39940190.97,225.6922011
48507,103440996.7,223.3323101
49001,714521.386,271.9098415
49007,883717.1358,293.3182829
49009,204651.2103,254.9271989
49013,7397577.527,272.5112006
49015,9732348.084,268.737467
49019,34542449.43,268.9609092
49023,6215332.47,266.3605311
49029,296529.8326,252.2633431
49033,6758013.95,251.4311532
49037,30439801.35,271.4945583
49039,1497247.624,273.067863
49041,482405.1454,274.9739141
49043,970041.5881,251.9006402
49047,36227283.85,271.3592582
49049,231176.9338,294.1298636
49051,311989.3063,293.484568
49055,4892476.518,269.200681
56001,31325141.2,202.5515804
56003,40941738.5,205.7127813
56005,121434731.1,206.5109553
56007,128046904.9,209.3904996
56009,82277465.68,204.9414224
56011,28405061.8,206.4854103
56013,4601148.395,232.898577
56015,80538041.71,205.3934681
56017,7337334.204,212.8827987
56019,56678596.43,206.9955752
56021,27007454.18,208.6363872
56023,63261320.12,206.352707
56025,89935714.35,206.9188263
56027,41899065.81,209.0540626
56029,37757261.04,206.9322114
56031,3031532.542,210.6274535
56033,15126463.51,209.9567579
56035,109848737.8,205.8263814
56037,330484835.1,206.890776
56041,44612534.43,206.7792563
56043,24339717.89,206.8466582
56045,91900254.22,203.7496773
