OBJECTID,Capacity,Year,Existing,SHAPE_Leng,Source
1,<100,2030,No,1227130.78813,NetZero America
2,<100,2020,Yes,342789.688022,NetZero America
3,<100,2020,Yes,1011550.98311,NetZero America
4,<100,2020,Yes,222693.892473,NetZero America
5,<100,2020,Yes,145153.15674,NetZero America
6,<100,2020,Yes,114338.908816,NetZero America
7,<100,2020,Yes,829396.003467,NetZero America
8,<100,2020,Yes,328943.052755,NetZero America
9,<100,2020,Yes,125495.172867,NetZero America
10,<100,2020,Yes,119008.864742,NetZero America
11,<100,2020,Yes,599867.260993,NetZero America
12,<100,2020,Yes,474108.064434,NetZero America
13,<100,2020,Yes,220882.130569,NetZero America
14,<100,2020,Yes,242847.121599,NetZero America
15,<100,2020,Yes,128189.158756,NetZero America
16,<100,2020,Yes,46951.4668101,NetZero America
17,<100,2020,Yes,195329.369843,NetZero America
18,<100,2020,Yes,296555.391504,NetZero America
19,<100,2020,Yes,276947.360286,NetZero America
20,<100,2020,Yes,91963.0800594,NetZero America
21,<100,2020,Yes,196433.357301,NetZero America
22,>200,2030,No,1788518.78405,NetZero America
23,>200,2030,No,2619467.56465,NetZero America
24,>200,2030,No,804310.159989,NetZero America
25,<100,2020,Yes,41123.9784525,NetZero America
26,<100,2020,Yes,50992.6504885,NetZero America
27,<100,2020,Yes,19564.1281917,NetZero America
28,<100,2020,Yes,31822.9465467,NetZero America
29,<100,2020,Yes,58709.957881,NetZero America
30,<100,2020,Yes,69965.7760954,NetZero America
31,<100,2030,Yes,10285.7144465,NetZero America
32,<100,2020,Yes,8003.7853493,NetZero America
33,<100,2020,Yes,32032.3499277,NetZero America
34,<100,2020,Yes,82017.4970759,NetZero America
35,<100,2020,Yes,19593.7176097,NetZero America
36,<100,2020,Yes,91346.2890123,NetZero America
37,<100,2030,Yes,37759.078814,NetZero America
38,<100,2020,Yes,38241.3508786,NetZero America
39,<100,2030,Yes,16792.0307929,NetZero America
40,<100,2020,Yes,14568.1464745,NetZero America
41,<100,2020,Yes,47423.111624,NetZero America
42,<100,2020,Yes,32428.268619,NetZero America
43,<100,2020,Yes,55217.0878496,NetZero America
44,<100,2020,Yes,34598.0363137,NetZero America
45,<100,2020,Yes,25808.0730288,NetZero America
46,<100,2020,Yes,13449.7057116,NetZero America
47,<100,2020,Yes,14182.7391756,NetZero America
48,<100,2020,Yes,16382.2160572,NetZero America
49,<100,2020,Yes,33152.1260024,NetZero America
50,<100,2020,Yes,12644.8643724,NetZero America
51,<100,2020,Yes,38058.3827585,NetZero America
52,<100,2030,Yes,100426.239211,NetZero America
53,<100,2030,Yes,29215.5137057,NetZero America
54,<100,2030,Yes,20732.1296136,NetZero America
55,<100,2030,Yes,20674.6264609,NetZero America
56,100-200,2035,No,1143334.77041,NetZero America
57,<100,2020,Yes,12884.2390372,NetZero America
58,<100,2020,Yes,17120.5267746,NetZero America
59,<100,2020,Yes,211488.26501,NetZero America
60,<100,2020,Yes,137139.483495,NetZero America
61,<100,2020,Yes,107401.126824,NetZero America
62,<100,2020,Yes,11327.7157773,NetZero America
