,Biomass,Biomass,Biomass,Biomass,Transportation,Transportation,Transportation,Direct Air Capture,Direct Air Capture,Bio-Carbon Storage,Bio-Carbon Storage,Geo-Carbon Storage Area,Geo-Carbon Storage Area,Geo-Carbon Storage Area
,[million tonnes per year],[million tonnes per year],[million tonnes per year],[million tonnes per year],[million tonnes per year],[million tonnes per year],[million tonnes per year],[million tonnes CO2/year],[million tonnes CO2/year],[million tonnes CO2e/year],[million tonnes CO2e/year],[million hectares],[million hectares],[million hectares]
Region,Agriculture Resuides,Forest Biomass,Municipal Solid Waste,Carbon Crop,Truck,Rail + Truck,Pipeline,Adsorbent DACS,Solvent DACS,Forest Growth,Cropland Soils,Conventional (at <$40/tonne CO2),Prospective,Basalt
Alaska,0,2,0.1,0,,,,206,686,0.8,,22,35.3,14.3
Appalachia,1.4,16.9,4.3,4.6,21.8,0,0,6,1300,119,0.35,24,13.2,0.4
California Central Valley,8.3,0.1,1.2,0.1,5.5,0,0,75,3,-0.1,0.33,5.4,0.4,0.2
Desert Southwest,1.3,6.4,1.1,3.9,5.6,4.4,2.7,34,,-0.6,0.07,0,5.1,3
East Cascades,2.6,11.2,0.4,1.5,5.7,4.3,0,38,,6.8,0.17,0.7,2,11.5
Florida Peninsula,3,1.4,2.9,0.9,2.7,0,0,1,,9.7,0,7.6,1.7,0
Great Basin,1.8,2.1,0.4,0.4,5.6,2.7,0,6,,0.6,0.06,0.1,3.5,16.6
Hawaii,0,0,0.1,0,,,,,,,,0,0.8,2
Lower Great Lakes,58.4,5.7,7.5,13.4,42.6,0,19.2,8,,0.3,0.77,30.1,14.9,0
Lower Midwest,40.9,0.3,0.7,23.6,28.7,0,13.2,253,,1.2,0.59,4.3,36.4,0
Lower Mississippi River,8.9,2,0.9,5.4,2.6,0,0,18,,29.1,0.64,11.6,5.8,0
Lower Rocky Mountains,0.4,5.6,1,4.2,2.6,0,2.8,700,198,-5.1,0.09,8.1,16.4,3.5
Northeast,1.9,15.7,1.7,1.3,8.2,0,0,,294,63.9,0.05,9.9,0.6,1
Northeastern Cities,0.8,4.1,9,1.7,16.1,0,0,,,22.4,0.04,6.5,1.3,0.9
South Central,1.8,11.1,5.2,15.3,42.2,0,7.9,104,984,156.6,0.37,24.7,15.1,0
Southeast,3.2,33,5,13.2,34.8,0,10.8,4,58,333.2,0.63,25.1,11.8,0.4
Upper Great Lakes,1.1,11.1,0.4,1.2,5.4,5,0,,20,41.7,0.01,5.6,0,6.5
Upper Midwest,59.8,1.2,1.3,16.4,28.3,5,10.6,169,58,1.7,0.18,11.6,15.6,1.7
Upper Rocky Mountains,4.1,1.8,0.8,13.8,18.5,0,2.8,2825,268,0.1,0.1,37.2,17.6,1.2
West Coast,0.9,100.4,1.9,0.4,41.4,0,0,5,4,81.6,0.01,0,3,11.6
West Texas,6.7,1.2,1.1,32.6,23.2,0,15.4,4837,1230,0.8,0.61,1.3,1.9,0.3
Western Cities,1.1,0.3,5.7,0.1,2.8,0,0.4,3,,0.1,0.12,52.5,2.6,0.4
