,County_FIPS,X,bc,Region,ORIG_FID_1,carbonprice,biomassprice,climate_benefit_cumulative,climate_benefit_per_year,sgarea,Negative_emissions_cumulative,Negative_emissions_per_year,year,biomassproduction,zerocb,costpertonne
1,1001,26,60 100,Southeast,16,60,100,1392.275585,96.75473389,52.17727834,505.2559334,35.11223203,2050,12074.77522,1372.030383,2.404152085
2,1001,52,70 116,Southeast,16,70,116,1396.332091,96.95875452,52.28730128,506.7280369,35.18627098,2050,12109.95604,1372.030383,3.357066178
3,1001,78,80 133,Southeast,16,80,133,1399.598826,97.35532531,52.50116146,507.9135329,35.33018628,2050,12138.28742,1372.030383,4.342226123
4,1001,104,90 150,Southeast,16,90,150,1401.76615,97.44577908,52.5499408,508.7000534,35.36301189,2050,12157.08395,1372.030383,5.26089779
5,1001,130,100 166,Southeast,16,100,166,1406.566422,97.71083907,52.69288067,510.4420692,35.459202,2050,12198.71523,1372.030383,6.765907647
6,1001,156,0 67,Southeast,16,0,67,1372.030383,95.43462719,51.46537958,497.9089624,34.63316614,2050,11899.19485,1372.030383,0
7,1001,182,40 67,Southeast,16,40,67,1374.945478,95.66551684,51.58989228,498.9668484,34.71695585,2050,11924.47657,1372.030383,0.233690441
8,1001,208,50 83,Southeast,16,50,83,1386.282406,96.47002268,52.02374108,503.0810127,35.00891051,2050,12022.79824,1372.030383,1.416473982
9,1003,234,60 100,Southeast,16,60,100,9214.06842,661.0515187,344.4084743,3191.975304,229.0041735,2050,99245.85229,8984.761457,4.310314602
10,1003,260,70 116,Southeast,16,70,116,9284.051251,666.3318401,347.1595268,3216.219043,230.833404,2050,99999.64589,8984.761457,6.513948621
11,1003,286,80 133,Southeast,16,80,133,9341.671432,672.5531361,350.400828,3236.180062,232.9886109,2050,100620.2799,8984.761457,8.822994223
12,1003,312,90 150,Southeast,16,90,150,9392.142666,676.556317,352.4864891,3253.664514,234.3754092,2050,101163.9117,8984.761457,11.26861993
13,1003,338,100 166,Southeast,16,100,166,9457.504248,681.6076505,355.1182387,3276.307341,236.1253128,2050,101867.9292,8984.761457,14.42913444
14,1003,364,30 50,Southeast,16,30,50,8948.565399,639.4991081,333.1796478,3099.998661,221.5378991,2050,96386.08695,8984.761457,0
15,1003,390,0 67,Southeast,16,0,67,8984.761457,642.7164431,334.8558824,3112.537848,222.6524615,2050,96775.95909,8984.761457,0
16,1003,416,40 67,Southeast,16,40,67,9010.292886,644.8821179,335.984201,3121.38255,223.4027034,2050,97050.96122,8984.761457,0.327181029
17,1003,442,50 83,Southeast,16,50,83,9110.056027,653.1703773,340.3023921,3155.942906,226.2739562,2050,98125.52216,8984.761457,1.985057626
18,1005,468,60 100,Southeast,16,60,100,1693.452304,117.9603279,67.3189538,662.5238398,46.1492356,2050,14799.0889,1664.518129,2.620359316
