"","county_fips","Region.x","CO2_price_per_Mg_climate_benefit","ConvertedHa_Carboncrop","CDR_cumulative_Carboncrop","CDR_per_year_Carboncrop","Cost_USD_per_Mg_CDR_Carboncrop","ConvertedHa_Covercrop","CDR_cumulative_Covercrop","CDR_per_year_Covercrop","Cost_USD_per_Mg_CDR_Covercrop","ConvertedHa_FieldBorder","CDR_cumulative_FieldBorder","CDR_per_year_FieldBorder","Cost_USD_per_Mg_CDR_FieldBorder","CroplandAreaHa","TotalCountyAreaHa","Region.y","Combined_CDR_cumulative","Combined_CDR_cumulative_per_ha_cropland","Combined_CDR_per_year","Combined_CDR_per_year_per_ha_cropland"
"1",1001,"Southeast",40,51.5898922835552,498.966848398115,34.7169558460006,110.223393163481,NA,NA,NA,NA,NA,NA,NA,NA,14929.178470255,153963.4184,"Southeast",NA,NA,NA,NA
"2",1003,"Southeast",40,335.984201031904,3121.38254963895,223.402703442631,115.465409860704,0,0,0,NA,0,80.0471453032903,3.20188581213161,83.9704226228768,44693.6462970457,411765.6199,"Southeast",3201.42969494224,0.0716305327532396,226.604589254763,0.00507017457803038
"3",1005,"Southeast",40,66.3316357193725,652.499314106903,45.4723983647391,102.242497693022,NA,NA,NA,NA,NA,NA,NA,NA,15096.7219749089,229216.0149,"Southeast",NA,NA,NA,NA
"4",1007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6403.4803723189,161218.8717,"Southeast",NA,NA,NA,NA
"5",1009,"Appalachia",40,110.15749938855,978.60568037006,74.7816458237498,106.433738964133,0,0,0,NA,0,0,0,NA,17722.7842978551,167025.909,"Appalachia",978.60568037006,0.0552173780328916,74.7816458237498,0.0042195201705863
"6",1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8081.34358559288,161308.3467,"Southeast",NA,NA,NA,NA
"7",1013,"Southeast",40,123.172293345772,1102.97116849239,84.8274234606784,100.286355449117,NA,NA,NA,NA,NA,NA,NA,NA,7169.9716713881,201200.2546,"Southeast",NA,NA,NA,NA
"8",1015,"Appalachia",40,82.6414753539304,773.439733961079,56.5887851306609,102.728830881356,0,0,0,NA,0,0,0,NA,11521.6511533792,156924.6127,"Appalachia",773.439733961079,0.0671292442085643,56.5887851306609,0.00491151696725898
"9",1017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5053.01497369486,154508.5601,"Southeast",NA,NA,NA,NA
"10",1019,"Appalachia",40,269.192966800489,2302.48911631477,187.135565968901,96.3261672485268,11984.4695180234,135946.328062127,5437.85312248508,40.6653255303754,0,0,0,NA,29462.1610683934,143362.085,"Appalachia",138248.817178442,4.69241943445734,5624.98868845398,0.190922474267795
